City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Busselton,AU,54.0,broken clouds,-33.65,115.33,Observatory Guest House
5,Mount Gambier,AU,46.4,clear sky,-37.83,140.77,Commodore on the Park
9,Faya,SA,64.4,scattered clouds,18.39,42.45,مقبرة ال مجمل
10,Kruisfontein,ZA,70.0,clear sky,-34.0,24.73,Oyster Bay House Rental
11,Itoman,JP,68.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
19,Christchurch,NZ,55.0,overcast clouds,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
22,Bluff,NZ,52.0,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
24,New Norfolk,AU,48.99,clear sky,-42.78,147.06,The Shingles Riverside Cottages
25,Port Alfred,ZA,68.29,clear sky,-33.59,26.89,The Halyards Hotel
27,Ushuaia,AR,44.6,broken clouds,-54.8,-68.3,Albatros Hotel
32,North Bend,US,42.01,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
33,Palmer,US,45.0,clear sky,42.16,-72.33,Wedgewood Motel
40,Port Elizabeth,ZA,69.8,clear sky,-33.92,25.57,39 On Nile Guest House
41,Punta Arenas,CL,50.0,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
44,Forbes,AU,64.0,clear sky,-33.38,148.02,Lake Forbes Motel
46,Hasaki,JP,50.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
50,Yuza,JP,42.51,light rain,39.0,139.92,鶴屋旅館
53,Binika,IN,68.63,clear sky,21.03,83.8,DISASTER ACCOMMODATION
57,Ribeira Grande,PT,59.0,broken clouds,38.52,-28.7,Quinta da Meia Eira
62,Klaksvik,FO,44.6,broken clouds,62.23,-6.59,Airbnb rooms
64,Esperance,AU,64.4,scattered clouds,-33.87,121.9,Hospitality Esperance
65,Raymond,US,42.01,scattered clouds,43.9,-70.47,Migis Lodge at Sebago Lake
66,Lebu,CL,57.9,clear sky,-37.62,-73.65,Hostal Las Lilas
