City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.74,-97.86,-4.0,83,20,5.82,few clouds
1,Miri,MY,4.41,114.01,78.8,94,40,6.93,scattered clouds
2,Bengkulu,ID,-3.8,102.27,75.79,86,83,5.23,light rain
3,Iranshahr,IR,27.2,60.68,75.2,14,0,4.7,clear sky
4,Busselton,AU,-33.65,115.33,54.0,95,62,17.65,broken clouds
5,Mount Gambier,AU,-37.83,140.77,46.4,100,0,2.51,clear sky
6,Rikitea,PF,-23.12,-134.97,76.03,82,93,12.55,light rain
7,Longyearbyen,SJ,78.22,15.64,23.0,73,75,16.11,light snow
8,Abbeville,FR,50.1,1.83,39.0,49,0,5.28,clear sky
9,Faya,SA,18.39,42.45,64.4,63,40,6.93,scattered clouds
10,Kruisfontein,ZA,-34.0,24.73,70.0,58,0,5.99,clear sky
11,Itoman,JP,26.12,127.67,68.0,60,75,17.22,broken clouds
12,Arraial Do Cabo,BR,-22.97,-42.03,84.2,65,0,18.34,clear sky
13,Cape Town,ZA,-33.93,18.42,72.0,56,0,23.04,clear sky
14,Marigot,MF,18.07,-63.08,84.2,62,20,9.17,few clouds
15,Abashiri,JP,44.02,144.27,30.0,80,100,3.0,overcast clouds
16,Boromo,BF,11.75,-2.93,99.59,15,0,7.9,clear sky
17,Krasnokholmskiy,RU,55.99,55.05,18.5,98,79,6.62,broken clouds
18,Daru,PG,-9.08,143.21,79.86,82,99,8.93,overcast clouds
19,Christchurch,NZ,-43.53,172.63,55.0,81,91,11.41,overcast clouds
20,Vaini,TO,-21.2,-175.2,75.2,78,20,12.75,few clouds
21,Baruun-Urt,MN,46.68,113.28,0.41,89,0,5.88,clear sky
22,Bluff,NZ,-46.6,168.33,52.0,85,100,6.76,overcast clouds
23,Innisfail,AU,-17.53,146.03,75.87,88,64,3.69,light rain
24,New Norfolk,AU,-42.78,147.06,48.99,64,3,2.68,clear sky
